LAST SEEN   TYPE      REASON              OBJECT                                                       MESSAGE
31m         Normal    Pulled              pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
31m         Normal    Started             pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Started container istio-proxy
31m         Normal    Created             pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Created container: istio-proxy
31m         Normal    Created             pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Created container: istio-proxy
31m         Normal    Started             pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Started container istio-proxy
31m         Normal    Started             pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Started container istio-proxy
31m         Normal    Pulled              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 3.014s (3.015s including waiting). Image size: 0 bytes.
30m         Normal    Killing             pod/myapp-my-app-app-frontend-78dd9dcddf-s2s9h               Stopping container istio-proxy
30m         Normal    Killing             pod/myapp-my-app-app-frontend-78dd9dcddf-s2s9h               Stopping container app-frontend
30m         Normal    Pulling             pod/myapp-my-app-model-service-586c7d5bbb-f9lsk              Pulling image "ghcr.io/remla2025-team16/model-service:latest"
30m         Normal    BackOff             pod/myapp-my-app-model-service-754d65645c-4pkjr              Back-off pulling image "ghcr.io/remla2025-team16/model-service:v2.0.0"
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v1.0.0" in 1.938s (1.939s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.967s (2.493s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.053s (3.341s including waiting). Image size: 0 bytes.
30m         Normal    Created             pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Created container: istio-proxy
30m         Normal    Started             pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Started container istio-proxy
30m         Warning   Failed              pod/myapp-my-app-model-service-586c7d5bbb-f9lsk              Error: unable to convert a nil pointer to a runtime API image
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 2.582s (6.584s including waiting). Image size: 0 bytes.
30m         Normal    Pulling             pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Pulling image "ghcr.io/remla2025-team16/app/app-frontend:v2.0.0"
30m         Normal    Created             pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Created container: istio-proxy
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
30m         Normal    Started             pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Started container istio-proxy
30m         Normal    Pulled              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.65s (5.244s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v1.0.0" in 2.371s (3.85s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 1.13s (4.409s including waiting). Image size: 0 bytes.
30m         Normal    SuccessfulCreate    replicaset/myapp-my-app-model-service-586c7d5bbb             Created pod: myapp-my-app-model-service-586c7d5bbb-q6nlx
30m         Normal    SuccessfulCreate    replicaset/myapp-my-app-model-service-754d65645c             Created pod: myapp-my-app-model-service-754d65645c-5mthx
30m         Warning   Unhealthy           pod/myapp-my-app-model-service-754d65645c-4pkjr              Readiness probe failed: HTTP probe failed with statuscode: 503
30m         Normal    Pulled              pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Successfully pulled image "ghcr.io/remla2025-team16/app/app-frontend:v2.0.0" in 2.857s (7.542s including waiting). Image size: 22412563 bytes.
30m         Normal    Created             pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Created container: app-frontend
30m         Normal    Started             pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Started container app-frontend
30m         Normal    Pulled              pod/myapp-my-app-model-service-754d65645c-5mthx              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
30m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
30m         Normal    Pulled              pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 6.125s (10.121s including waiting). Image size: 0 bytes.
30m         Normal    Created             pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Created container: istio-init
30m         Normal    Created             pod/myapp-my-app-model-service-754d65645c-5mthx              Created container: istio-init
30m         Normal    Created             pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Created container: istio-proxy
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 6.481s (16.011s including waiting). Image size: 0 bytes.
30m         Normal    Started             pod/myapp-my-app-model-service-754d65645c-5mthx              Started container istio-init
30m         Normal    Started             pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Started container istio-proxy
30m         Normal    Started             pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Started container istio-init
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v1.0.0" in 2.099s (12.653s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 1.357s (14.008s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.884s (15.892s including waiting). Image size: 0 bytes.
30m         Normal    Created             pod/myapp-my-app-model-service-754d65645c-5mthx              Created container: istio-proxy
30m         Normal    Pulled              pod/myapp-my-app-model-service-754d65645c-5mthx              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
30m         Normal    Started             pod/myapp-my-app-model-service-754d65645c-5mthx              Started container istio-proxy
30m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Successfully pulled image "ghcr.io/remla2025-team16/model-service:latest" in 1.769s (1.769s including waiting). Image size: 0 bytes.
30m         Normal    Pulled              pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Container image "docker.io/istio/proxyv2:1.25.2" already present on machine
30m         Normal    Created             pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Created container: istio-proxy
30m         Normal    Started             pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Started container istio-proxy
30m         Normal    Pulled              pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:latest" in 1.942s (1.942s including waiting). Image size: 0 bytes.
