LAST SEEN   TYPE      REASON              OBJECT                                                       MESSAGE
3m29s       Warning   Unhealthy           pod/prometheus-grafana-cb4cddb8d-r4wnk                       Liveness probe failed: HTTP probe failed with statuscode: 503
2m11s       Normal    Pulling             pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Pulling image "ghcr.io/remla2025-team16/model-service:latest"
106s        Warning   InspectFailed       pod/myapp-my-app-app-service-v2-67cd8df78f-55xjg             Failed to inspect image "": rpc error: code = Unknown desc = unable to convert a nil pointer to a runtime API image
104s        Warning   InspectFailed       pod/myapp-my-app-app-service-v2-67cd8df78f-66rkd             Failed to inspect image "": rpc error: code = Unknown desc = unable to convert a nil pointer to a runtime API image
104s        Warning   InspectFailed       pod/myapp-my-app-app-service-v2-67cd8df78f-6q82l             Failed to inspect image "": rpc error: code = Unknown desc = unable to convert a nil pointer to a runtime API image
99s         Warning   InspectFailed       pod/myapp-my-app-app-service-v1-6789df75d7-894sb             Failed to inspect image "": rpc error: code = Unknown desc = unable to convert a nil pointer to a runtime API image
95s         Warning   InspectFailed       pod/myapp-my-app-app-service-v1-6789df75d7-wn2hl             Failed to inspect image "": rpc error: code = Unknown desc = unable to convert a nil pointer to a runtime API image
85s         Warning   Failed              pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Error: unable to convert a nil pointer to a runtime API image
75s         Warning   InspectFailed       pod/myapp-my-app-app-service-v1-6789df75d7-wz55g             Failed to inspect image "": rpc error: code = Unknown desc = unable to convert a nil pointer to a runtime API image
74s         Warning   InspectFailed       pod/myapp-my-app-app-service-v1-768f4789f6-ckhd4             Failed to inspect image "": rpc error: code = Unknown desc = unable to convert a nil pointer to a runtime API image
12s         Warning   Unhealthy           pod/prometheus-kube-prometheus-operator-6f69656888-bqx98     Readiness probe failed: Get "https://10.1.0.147:10250/healthz": net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
